"","DOMENICK.S.PIZZERIA","X1015.ALLERTON.AVENUE.BRONX.NY.10469","long","lat"
"1060","COMBINA","330 WEST BROADWAY,MANHATTAN NY,10013",-74.0040604,40.7223142
"1061","COMA BUENO RESTAURANT","944 COLUMBUS AVENUE,MANHATTAN NY,10025",-73.96297,40.799641
"1062","COLUMBUS RESTAURANT","6610 18TH AVE,BROOKLYN NY,11204",-73.9912687,40.6183861
"1063","COLUMBUS GOURMET FOOD","261 COLUMBUS AVE STORE #2,MANHATTAN NY,10023",-73.9800645,40.7769059
"1064","COLUMBUS FLAME","100 W 82ND ST,MANHATTAN NY,10024",-73.9745045,40.7839758
"1065","COLUMBUS CITIZENS FOUNDATION","8 EAST   69 STREET,MANHATTAN NY,10021",-73.967841,40.769971
"1066","COLUMBUS AVE DELI & COFE","556 COLUMBUS AVENUE,MANHATTAN NY,10024",-73.9719684,40.7871628
"1067","COLUMBIA UNIVERSITY MEDICAL CENTER BOOKSTORE CAFE","711 W 168TH ST,MANHATTAN NY,10032",-73.9428994,40.842917
"1068","COLSON PATISSERIE","374 9 STREET,BROOKLYN NY,11215",-73.9839407,40.6677733
"1069","COLORS RESTAURANT","417 LAFAYETTE STREET,MANHATTAN NY,10003",-73.9920829,40.728528
"1070","COLOR ME GREENS","1522 MYRTLE AVE,BROOKLYN NY,11237",-73.912955,40.6992134
"1071","COLONY LOUNGE SERVICE BAR","11000 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.8032797,40.6745381
"1072","COLONY FRIED CHICKEN","864 PROSPECT AVE,BRONX NY,10459",-73.9010619,40.8201876
"1073","COLONY CLUB","564 PARK AVENUE,MANHATTAN NY,10065",-73.9687016,40.7651482
"1074","COLONNADE DINER","2001 HYLAN BOULEVARD,STATEN ISLAND NY,10306",-74.0989932,40.5811355
"1075","COLONIE","127 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9958422,40.6908464
"1076","Colonia Verde","219 DEKALB AVE,BROOKLYN NY,11205",-73.9706715,40.6896787
"1077","COLOMBIAN RESTAURANT & BAKERY","4823 4 AVENUE,BROOKLYN NY,11220",-74.0116771,40.6469468
"1078","COLOMBIA RESTAURANT","376 5 AVENUE,BROOKLYN NY,11215",-73.9848427,40.6712933
"1079","COLOMBIA FAMA BAKERY","6017 ROOSEVELT AVENUE,QUEENS NY,11377",-73.9039466,40.7456709
"1080","COLLEGE POINT MULTIPLEX CINEMAS","2855 ULMER STREET,QUEENS NY,11354",-73.8352918,40.7716451
"1081","COLLEGE POINT DINER","1432 COLLEGE POINT BOULEVARD,QUEENS NY,11356",-73.8459001,40.785025
"1082","COLLAGE BISTRO & BAR","342 WEST   40 STREET,MANHATTAN NY,10018",-73.9928546,40.7566314
"1083","COLLADO RESTAURANT","1310 BROADWAY,BROOKLYN NY,11221",-73.9239653,40.6903438
"1084","COLISEUM BAR RESTAURANT","312 WEST   58 STREET,MANHATTAN NY,10019",-73.9832993,40.7675444
"1085","COLINA CUERVO","759 NOSTRAND AVE,BROOKLYN NY,11216",-73.9502378,40.6712865
"1086","COLINA BAR","2263 2 AVENUE,MANHATTAN NY,10035",-73.937903,40.797308
"1087","COLICCHIO & SONS","85 10 AVENUE,MANHATTAN NY,10011",-74.0079542,40.7432086
"1088","COLGATE PALMOLIVE","300 PARK AVENUE,MANHATTAN NY,10022",-73.9747241,40.7570425
"1089","COLES DOCK SIDE RESTAURANT","369 CLEVELAND AVENUE,STATEN ISLAND NY,10308",-74.1424457,40.5426995
"1090","COLD STONE CREAMERY","8028 COOPER AVENUE,QUEENS NY,11385",-73.8687086,40.7093867
"1091","COLD STONE CREAMERY","7 CORSON AVE,STATEN ISLAND NY,10301",-74.0791899,40.6383858
"1092","COLD STONE CREAMERY","15714 CROSSBAY BOULEVARD,QUEENS NY,11414",-73.8410168,40.6618726
"1093","COLD STONE CREAMERY","139 FLATBUSH AVENUE,BROOKLYN NY,11217",-73.9769192,40.6845887
"1094","COLD STONE CREAMERY","3165 HARKNESS AVE,BROOKLYN NY,11235",-73.9292494,40.5867372
"1095","COLD STONE CREAMERY","8801 QUEENS BLVD,QUEENS NY,11373",-73.8747611,40.7353074
"1096","COLD STONE CREAMERY","2341 RICHMOND AVENUE,STATEN ISLAND NY,10314",-74.1645272,40.5908495
"1097","COLD STONE CREAMERY","2598 STEINWAY ST,QUEENS NY,11103",-73.913846,40.76572
"1098","COLD STONE CREAMERY","17660 UNION TURNPIKE,QUEENS NY,11366",-73.7907146,40.7257536
"1099","COLD STONE CREAMERY","253 WEST   42 STREET,MANHATTAN NY,10036",-73.9885482,40.7570301
"1100","COLD PRESS'D","921 CORTELYOU RD,BROOKLYN NY,11218",-73.9691753,40.6389813
"1101","COLD CUT CITY BUNNY DELI 2","228 W 231ST ST,BRONX NY,10463",-73.9058023,40.8792092
"1102","COLBEH CATERING","5427 LITTLE NECK PKWY,QUEENS NY,11362",-73.7253941,40.7666763
"1103","COLBEH","32 WEST 39 STREET,MANHATTAN NY,10018",-73.9840252,40.7520635
"1104","COLALA CHINESE & JAPANESE RESTAURANT","791 WASHINGTON AVENUE,BROOKLYN NY,11238",-73.962628,40.6729156
"1105","COLADOR CAFE","1000 BEDFORD AVENUE,BROOKLYN NY,11205",-73.9555985,40.6906439
"1106","COKIRI TWO KTV","4032 149 PLACE,QUEENS NY,11354",-73.815109,40.762472
"1107","COKIRI TWO INC","4032 149TH PL,QUEENS NY,11354",-73.815109,40.762472
"1108","COFI CAFE","4710A WHITE PLAINS RD,BRONX NY,10470",-73.849711,40.903746
"1109","COFFEED Corporation","184 7TH AVE S,MANHATTAN NY,10014",-74.0014093,40.7361141
"1110","COFFEED","4-09 47 ROAD,QUEENS NY,11101",-73.9582209,40.7456053
"1111","COFFEED","590 AVENUE OF THE AMERICAS,MANHATTAN NY,10011",-73.9951726,40.7389298
"1112","COFFEED","3718 NORTHERN BLVD,QUEENS NY,11101",-73.9254413,40.751985
"1113","COFFEED","3718 NORTHERN BOULEVARD,QUEENS NY,11101",-73.9254413,40.751985
"1114","COFFEED","264 W 40TH ST,MANHATTAN NY,10018",-73.9903697,40.7555696
"1115","COFFEED","41 W 40TH ST,MANHATTAN NY,10018",-73.9843365,40.7538201
"1116","COFFEEBERRY","618 AMSTERDAM AVE,MANHATTAN NY,10024",-73.9735141,40.7901608
"1117","COFFEE Z","30 NEWKIRK PLZ,BROOKLYN NY,11226",-73.9626856,40.6348554
"1118","COFFEE STOP","7408 GRAND AVE,QUEENS NY,11373",-73.881592,40.7352073
"1119","COFFEE SPOT CAFE","1617 JEROME AVENUE,BROOKLYN NY,11235",-73.9523158,40.5872682
"1120","COFFEE SHOP/BRICK OVEN PIZZA","837 SURF AVE,BROOKLYN NY,11224",-73.9778362,40.5756606
"1121","COFFEE SHOP ON 8TH AVE","5408 8TH AVE,BROOKLYN NY,11220",-74.006476,40.638802
"1122","COFFEE SHOP DINER","442 EAST   14 STREET,MANHATTAN NY,10009",-73.9807748,40.7303418
"1123","COFFEE SHOP DELI","7925 COOPER AVENUE,QUEENS NY,11385",-73.872025,40.7084145
"1124","COFFEE SHOP BEER SANDWICHES","4340 34 STREET,QUEENS NY,11101",-73.9308618,40.7452626
"1125","COFFEE SHOP","150 55 STREET,BROOKLYN NY,11220",-74.0215371,40.6467581
"1126","COFFEE SHOP","3424 KOSSUTH AVENUE,BRONX NY,10467",-73.8811176,40.8805358
"1127","COFFEE SHOP","29 UNION SQUARE WEST,MANHATTAN NY,10003",-73.9910286,40.7365123
"1128","COFFEE SHOP","28 WEST   32 STREET,MANHATTAN NY,10001",-73.9870976,40.7475813
"1129","COFFEE PROJECT NY","239 E 5TH ST,MANHATTAN NY,10003",-73.9892902,40.7270664
"1130","COFFEE NOOK","10 ELIZABETH ST,MANHATTAN NY,10013",-73.997231,40.715702
"1131","COFFEE MOB","1514 NEWKIRK AVE,BROOKLYN NY,11226",-73.9626034,40.6357129
"1132","COFFEE LAB","6903 3RD AVE,BROOKLYN NY,11209",-74.0259047,40.6354941
"1133","COFFEE FRIENDS","1035 MANHATTAN AVENUE,BROOKLYN NY,11222",-73.955166,40.7341714
"1134","COFFEE EXPRESS","4705 METROPOLITAN AVENUE,QUEENS NY,11385",-73.8579329,40.7115761
"1135","COFFEE BREAK","929 AMSTERDAM AVE,MANHATTAN NY,10025",-73.9656396,40.800045
"1136","COFFEE 11238","995A FULTON ST,BROOKLYN NY,11238",-73.9630466,40.6828294
"1137","COFFEE & CRUMBS","330 WEST 38TH STREET,MANHATTAN NY,10018",-73.9934861,40.7552824
"1138","CODY'S ALE HOUSE GRILL","154 COURT STREET,BROOKLYN NY,11201",-73.9930903,40.6887401
"1139","CODE  LOUNGE","19715 JAMAICA AVE,QUEENS NY,11423",-73.7622666,40.7135888
"1140","COCOTTE","110 THOMPSON STREET,MANHATTAN NY,10012",-74.0017145,40.7257072
"1141","COCORON","61 DELANCY STREET,MANHATTAN NY,10002",-73.9908628,40.719099
"1142","COCORON","37 KENMARE STREET,MANHATTAN NY,10012",-73.9952545,40.7209168
"1143","COCONUT PALM BAR AND GRILL","2407 WESTCHESTER AVENUE,BRONX NY,10461",-73.846323,40.8373738
"1144","COCONUT","7095 AMBOY RD,STATEN ISLAND NY,10307",-74.235954,40.514565
"1145","COCOLON RESTAURANT","9016 CORONA AVE,QUEENS NY,11373",-73.8746594,40.7415876
"1146","COCOHODO","15807 NORTHERN BLVD,QUEENS NY,11358",-73.8070131,40.7635384
"1147","COCOA GRINDER","8511 3RD AVE,BROOKLYN NY,11209",-74.0305443,40.6239384
"1148","COCOA GRINDER","8521 4TH AVE,BROOKLYN NY,11209",-74.0280804,40.6228618
"1149","COCOA BAR BROOKLYN","228 7th Ave,BROOKLYN NY,11215",-73.9791518,40.6702211
"1150","COCOA BAR","21 CLINTON STREET,MANHATTAN NY,10002",-73.9844567,40.7206709
"1151","COCO'S PIZZA & RESTAURANT","1377 SUTTER AVENUE,BROOKLYN NY,11208",-73.8671258,40.6736979
"1152","COCO SOUTH EAST ASIAN CUISINE","8269 BROADWAY,QUEENS NY,11373",-73.8806763,40.741881
"1153","COCO ROCO RESTAURANT","392 5 AVENUE,BROOKLYN NY,11215",-73.9851801,40.6708217
"1154","COCO MOKA CAFE","2 PENN PLAZA,MANHATTAN NY,10121",-73.9921676,40.7499719
"1155","COCO MALAYSIA","8269 BROADWAY,QUEENS NY,11373",-73.8806763,40.741881
"1156","COCO FRESH TEA & JUICE","4540 BELL BLVD,QUEENS NY,11361",-73.7690402,40.7591387
"1157","COCO FRESH TEA & JUICE","8655 BROADWAY,QUEENS NY,11373",-73.8771249,40.7373229
"1158","COCO FRESH TEA & JUICE","4024 COLLEGE POINT BLVD,QUEENS NY,11354",-73.8355756,40.7571146
"1159","COCO FRESH TEA & JUICE","79 DIVISION ST,MANHATTAN NY,10002",-73.9938189,40.7141006
"1160","COCO FRESH TEA & JUICE","12 JOHN ST,MANHATTAN NY,10038",-74.0091249,40.7098261
"1161","COCO FRESH TEA & JUICE","38 LEXINGTON AVENUE,MANHATTAN NY,10010",-73.9845321,40.7401502
"1162","COCO FRESH TEA & JUICE","459 LEXINGTON AVENUE,MANHATTAN NY,10017",-73.9743598,40.7534048
"1163","COCO FRESH TEA & JUICE","3922 MAIN STREET,QUEENS NY,11354",-73.8304685,40.7596083
"1164","COCO FRESH","118 W 72ND ST,MANHATTAN NY,10023",-73.9796395,40.7774525
"1165","COCO CHINESE RESTAURANT","1706 CHURCH AVENUE,BROOKLYN NY,11226",-73.9636487,40.649051
"1166","COCO","1384 BROADWAY,MANHATTAN NY,10018",-73.987007,40.752552
"1167","COCO","4140 KISSENA BLVD,QUEENS NY,11355",-73.82859,40.757634
"1168","COCO","33 SAINT MARKS PL,MANHATTAN NY,10003",-73.98809,40.729047
"1169","COCKTAIL ROOM (NYAC)","180 CENTRAL PARK SOUTH,MANHATTAN NY,10019",-73.9789998,40.7663783
"1170","COCK'S BAJAN RESTAURANT","806 NOSTRAND AVENUE,BROOKLYN NY,11216",-73.9506229,40.6711529
"1171","COCINA TALLER","416 W 203RD ST,MANHATTAN NY,10034",-73.9199223,40.8614339
"1172","COCHINITA","922 FULTON STREET,BROOKLYN NY,11238",-73.9640973,40.6827188
"1173","COCCOLA","1600 AMSTERDAM AVENUE,MANHATTAN NY,10031",-73.9506925,40.8214028
"1174","COBBLESTONE PUB","11718 QUEENS BOULEVARD,QUEENS NY,11375",-73.8327409,40.714974
"1175","COBBLESTONE FOOD","199 COURT STREET,BROOKLYN NY,11201",-73.9933181,40.6872654
"1176","COBBLE HILL COFFEE SHOP","314 COURT STREET,BROOKLYN NY,11231",-73.995623,40.6834677
"1177","COBBLE HILL CINEMAS","265 COURT STREET,BROOKLYN NY,11231",-73.9943886,40.6848519
"1178","COATZINGO RESTAURANT","7911 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799033,40.7480786
"1179","COASTAL FROZEN YOGURT","10819 ROCKAWAY BEACH DR,QUEENS NY,11694",-73.8303836,40.5810706
"1180","COAL YARD BAR","102 1 AVENUE,MANHATTAN NY,10009",-73.9858086,40.7264229
"1181","COACH SCOT'S MAIN STREET SWEETS","559 MAIN STREET,MANHATTAN NY,10044",-73.9495419,40.7622313
"1182","CO-OP at HOTEL RIVINGTON","107 RIVINGTON STREET,MANHATTAN NY,10002",-73.988093,40.719762
"1183","CO CO LIN VEGETARIAN HOUSE","6419 FRESH POND ROAD,QUEENS NY,11385",-73.895073,40.7021731
"1184","CO BA RESTAURANT","110 9TH AVE,MANHATTAN NY,10011",-74.0036711,40.7428878
"1185","Co Ba 53","401 W 53RD ST,MANHATTAN NY,10019",-73.9879068,40.7656327
"1186","CMOLOVAR","813 AVENUE U,BROOKLYN NY,11223",-73.9625761,40.5983447
"1187","CLYDE FRAZIER'S WINE AND DINE","505 WEST   37 STREET,MANHATTAN NY,10018",-73.9980872,40.7568325
"1188","CLUBS GYRO","1026 NOSTRAND AVENUE,BROOKLYN NY,11225",-73.9511118,40.6633827
"1189","CLUB WYNN - GERA GERA","238 EAST 53 STREET,MANHATTAN NY,10022",-73.9680987,40.7569221
"1190","CLUB VOA","249 E 49TH ST,MANHATTAN NY,10017",-73.9693821,40.7546065
"1191","CLUB VIBE BAR AND CAFE","14306 LIBERTY AVE,QUEENS NY,11435",-73.809342,40.692054
"1192","CLUB REPUBLIC","990 BROADWAY,BROOKLYN NY,11221",-73.9340695,40.6961031
"1193","CLUB PACC - Y & B ENTERTAINMENT MANOR","3509 PRINCE STRRET,QUEENS NY,11354",-73.8331604,40.7637883
"1194","CLUB MIAMI","26 BRUCKNER BLVD,BRONX NY,10454",-73.9284055,40.8068475
"1195","CLUB METROPOLITAN","146 WEST   57 STREET,MANHATTAN NY,10019",-73.9792586,40.7648614
"1196","CLUB MAX","238 EAST   53 STREET,MANHATTAN NY,10022",-73.9680987,40.7569221
"1197","CLUB MACANUDO (CIGAR BAR)","26 EAST   63 STREET,MANHATTAN NY,10065",-73.9693615,40.7658603
"1198","CLUB HOUSE SPORTS BAR AND LOUNGE","17 WILLIAMS AVE,BROOKLYN NY,11207",-73.9004917,40.676171
"1199","CLUB HEDON","3511 PRINCE STREET,QUEENS NY,11354",-73.8329249,40.7636089
"1200","CLUB GRILL","4 PENN PLZ,MANHATTAN NY,10121",-73.993384,40.75048
"1201","CLUB EVOLUTION","7619 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799076,40.7480782
"1202","CLUB BONAFIDE","212 E 52ND ST,MANHATTAN NY,10022",-73.9692992,40.7565952
"1203","Club Bar #2 HORSESHOE BAR (1st Base)","126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
"1204","CLUB BAR #1 (FIRST BASE)","126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
"1205","CLUB A STEAKHOUSE","240 EAST   58 STREET,MANHATTAN NY,10022",-73.9655663,40.7600624
"1206","CLUB 101","101 PARK AVENUE,MANHATTAN NY,10013",-73.9776656,40.7508681
"1207","CLOW & CLOVER","291 KENT AVENUE,BROOKLYN NY,11249",-73.9665327,40.7145278
"1208","CLOVER'S","338 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9875958,40.6877126
"1209","CLOVER CLUB","210 SMITH ST,BROOKLYN NY,11201",-73.992148,40.6845902
"1210","CLOVE INDIAN RESTAURANT BAR","1592 AMSTERDAM AVE,MANHATTAN NY,10031",-73.9507314,40.8213317
"1211","CLOVE  NOODLES","1809 VICTORY BLVD,STATEN ISLAND NY,10314",-74.123689,40.6131799
"1212","cloud social","6 W 32ND ST,MANHATTAN NY,10001",-73.9863412,40.7472962
"1213","CLOUD BAR","218 W 50TH ST,MANHATTAN NY,10019",-73.984968,40.761561
"1214","CLOUD 9","17922 UNION TURNPIKE,QUEENS NY,11366",-73.7882815,40.7265663
"1215","CLOISTERS GRILL","7 HENSHAW STREET,MANHATTAN NY,10034",-73.9298308,40.8666524
"1216","CLOISTER CAFE","238 EAST    9 STREET,MANHATTAN NY,10003",-73.9879016,40.7292929
"1217","CLOCKTOWER","5 MADISON AVENUE,MANHATTAN NY,10010",-73.9873664,40.7412743
"1218","CLOCK WORK","21 ESSEX STREET,MANHATTAN NY,10002",-73.9900975,40.7153605
"1219","CLIPPERS II","234-32 MERRICK BLVD,QUEENS NY,11422",-73.735401,40.6740778
"1220","CLINTON STREET BAKING COMPANY","4 CLINTON STREET,MANHATTAN NY,10002",-73.9838228,40.7211907
"1221","CLINTON SQUARE PIZZA","201 CLINTON ST,MANHATTAN NY,10002",-73.9872592,40.7139682
"1222","CLINTON RESTAURANT","917 CLINTONVILLE STREET,QUEENS NY,11357",-73.8128627,40.7931101
"1223","CLINTON PARK CAFE","274 HALL STREET,BROOKLYN NY,11205",-73.9653812,40.6900384
"1224","CLINTON HALL","90 WASHINGTON ST,MANHATTAN NY,10006",-74.014869,40.70803
"1225","CLIFFORD CHANCE CAFETERIA","31 WEST   52 STREET,MANHATTAN NY,10019",-73.9780638,40.7609682
"1226","CLEOPATRA'S NEEDLE","2483 BROADWAY,MANHATTAN NY,10025",-73.9732585,40.7922925
"1227","Cleopatra Queen Lounge","4125 HYLAN BLVD,STATEN ISLAND NY,10308",-74.1488407,40.5393618
"1228","CLEOPATRA CAFE","2562 STEINWAY ST,QUEENS NY,11103",-73.913146,40.766548
"1229","CLEMENTE'S MARYLAND CRAB HOUSE","3939 EMMONS AVENUE,BROOKLYN NY,11235",-73.9263201,40.5850723
"1230","CLEM'S","264 GRAND STREET,BROOKLYN NY,11211",-73.9586318,40.7132015
"1231","CLEARY GOTTLIEB","1 LIBERTY PLAZA,MANHATTAN NY,10006",-74.011389,40.709722
"1232","CLEARVIEW PARK (GOLF COURSE)","20212 WILLETS POINT BOULEVARD,QUEENS NY,11360",-73.7894214,40.7865697
"1233","CLAY","25 WEST   14 STREET,MANHATTAN NY,10011",-73.9945468,40.7368171
"1234","CLAW DADDY'S","185 ORCHARD ST,MANHATTAN NY,10002",-73.98847,40.722071
"1235","CLAUDIO'S CAFE II","3223 37 AVENUE,QUEENS NY,11101",-73.9299428,40.7543617
"1236","CLAUDIO PIZZERIA RESTORANTE","598 10TH AVE,MANHATTAN NY,10036",-73.9945951,40.7603504
"1237","CLAUDINE'S","311 SMITH STREET,BROOKLYN NY,11231",-73.9939538,40.6812717
"1238","CLAUDIA'S COFFEE SHOP","125 BROAD STREET,MANHATTAN NY,10004",-74.0105156,40.7023357
"1239","CLAUDETTE","24 5TH AVE,MANHATTAN NY,10011",-73.9963068,40.7332413
"1240","CLASSIC PIZZA & RESTAURANT","1747 AMSTERDAM AVENUE,MANHATTAN NY,10031",-73.946575,40.8261544
"1241","CLASSIC PIZZA & RESTAURANT","3201B RICHMOND ROAD,STATEN ISLAND NY,10306",-74.1279156,40.5755572
"1242","CLASSIC KOSHER CATERING","2818 AVENUE K,BROOKLYN NY,11210",-73.9475827,40.6238906
"1243","CLASSIC DELI","2655 RICHMOND AVENUE,STATEN ISLAND NY,10314",-74.1652624,40.5818776
"1244","CLASSIC CUISINE","713 BEACH   20 STREET,QUEENS NY,11691",-73.753542,40.60204
"1245","CLASSIC COFFEE SHOP","56 HESTER STREET,MANHATTAN NY,10002",-73.9907994,40.7156752
"1246","CLARO DE LUNA RESTAURANT","524 WEST 207 STREET,MANHATTAN NY,10034",-73.9198323,40.8650045
"1247","CLARK'S RESTAURANT","80 CLARK STREET,BROOKLYN NY,11201",-73.9932232,40.6974104
"1248","CLARET WINE BAR","4602 SKILLMAN AVENUE,QUEENS NY,11104",-73.9178671,40.7463634
"1249","CLARENDON CUISINE","252 E 54TH ST,BROOKLYN NY,11203",-73.9266378,40.6521278
"1250","CLANDESTINO CAFE AND BAR","35 CANAL STREET,MANHATTAN NY,10002",-73.9907809,40.7147533
"1251","CLADDAGH INN","3042 NOSTRAND AVENUE,BROOKLYN NY,11229",-73.9439975,40.6101742
"1252","CJ'S PUB","901 COLLEGE POINT BLVD,QUEENS NY,11356",-73.845385,40.7893237
"1253","CJ's Jamaican Restaurant & Bakery No 3","247-12-14 S CONDUIT AVE,QUEENS NY,11422",-73.7308245,40.6653512
"1254","CJ'S JAMAICAN RESTAURANT & BAKERY","817 UTICA AVENUE,BROOKLYN NY,11203",-73.9301924,40.6531701
"1255","CJ'S CAFE","17715 UNION TURNPIKE,QUEENS NY,11366",-73.7904555,40.7263973
"1256","CJ SULLIVAN'S","21310 41 AVENUE,QUEENS NY,11361",-73.771394,40.76331
"1257","CJ DIAMOND CAFE","4102 COLLEGE POINT BLVD,QUEENS NY,11355",-73.8329582,40.7544654
"1258","CIVIC DELI","111 WORTH STREET,MANHATTAN NY,10013",-74.0036378,40.7161361
"1259","CITYSCAPES NY","5561 58 STREET,QUEENS NY,11378",-73.9119047,40.7258004
"1260","CITYRIB","89-04 parsons boulevard,QUEENS NY,11432",-73.8019105,40.7054004
"1261","CITY WINGS  CAFE","347 1ST AVE,MANHATTAN NY,10010",-73.9800117,40.7352702
"1262","CITY WINERY","155 VARICK STREET,MANHATTAN NY,10013",-74.0060002,40.7262757
"1263","CITY VIEW RACQUET CLUB","4334 32 PLACE,QUEENS NY,11101",-73.9329691,40.7456317
"1264","CITY VIEW DINER","901 SHERIDAN AVENUE,BRONX NY,10451",-73.9211325,40.8269754
"1265","CITY TECH CAFE","186 JAY STREET,BROOKLYN NY,11201",-73.9874803,40.6989687
"1266","CITY TECH BOOKSTORE & CAFE","259 ADAMS STREET,BROOKLYN NY,11201",-73.9883008,40.6956973
"1267","CITY SWIGGERS","320 EAST   86 STREET,MANHATTAN NY,10028",-73.9509627,40.7772713
"1268","CITY SUBS","82 5TH AVE,BROOKLYN NY,11217",-73.9778694,40.6805674
"1269","CITY SNOOKER POOL HOUSE","7532 BROADWAY,QUEENS NY,11373",-73.8896098,40.7457108
"1270","CITY SLICE","754 10TH AVE,MANHATTAN NY,10019",-73.9909184,40.7654279
"1271","CITY SCOOP CAFE","659 W 181ST ST,MANHATTAN NY,10033",-73.9352895,40.8502778
"1272","CITY SANDWICH","649 9 AVENUE,MANHATTAN NY,10036",-73.9913112,40.7607165
"1273","CITY PLACE GRILL","10223B HORACE HARDING EXPRESSWAY,QUEENS NY,11368",-73.858973,40.7359296
"1274","CITY PERK","15 PENN PLAZA,MANHATTAN NY,10001",-73.9928189,40.7499515
"1275","CITY ONE CHINESE RESTAURANT","2726 FREDERICK DOUGLASS BLVD,MANHATTAN NY,10030",-73.9417201,40.8225562
"1276","city of saints coffee roasters","79 E 10TH ST,MANHATTAN NY,10003",-73.9899256,40.7312275
"1277","CITY MARKET CAFE","178 5 AVENUE,MANHATTAN NY,10010",-73.9901552,40.7412703
"1278","CITY LOBSTER & STEAK","1251 AVENUE OF THE AMERICAS,MANHATTAN NY,10020",-73.9817238,40.7599885
"1279","CITY LINE PIZZA & PASTA","1224 LIBERTY AVENUE,BROOKLYN NY,11208",-73.8638075,40.6788957
"1280","CITY ISLAND YACHT CLUB","63 PILOT STREET,BRONX NY,10464",-73.7864786,40.8408326
"1281","CITY ISLAND LOBSTER HOUSE","691 BRIDGE STREET,BRONX NY,10464",-73.791135,40.8567653
"1282","CITY ISLAND DINER /SNUG BAR","304 CITY ISLAND AVE,BRONX NY,10464",-73.7862922,40.8471662
"1283","CITY ISLAND CHINESE RESTAURANT","8486 CITY ISLAND AVENUE,BRONX NY,10464",-73.7865113,40.8472646
"1284","CITY GOURMET","238 EAST   14 STREET,MANHATTAN NY,10003",-73.985791,40.732386
"1285","CITY DINER","2441 BROADWAY,MANHATTAN NY,10024",-73.9748245,40.7911059
"1286","CITY COLLEGE MARSHAK CAFE","160 CONVENT AVENUE,MANHATTAN NY,10031",-73.9478749,40.8217036
"1287","CITY COLLEGE CAFETERIA","138 ST CONVENT AVE,MANHATTAN NY,10031",-73.9515528,40.8180687
"1288","CITY COFFEE","7717 37 AVENUE,QUEENS NY,11372",-73.8882687,40.7494896
"1289","CITY CINEMAS 123","1001 3 AVENUE,MANHATTAN NY,10022",-73.9660305,40.7618383
"1290","CITY CHOW CAFE V (EQUINOX)","420 LEXINGTON AVENUE,MANHATTAN NY,10170",-73.9759022,40.7526842
"1291","CITY CHOW CAFE","897 BROADWAY,MANHATTAN NY,10003",-73.9900893,40.7390882
"1292","CITY CENTER","130 WEST   56 STREET,MANHATTAN NY,10019",-73.9794034,40.7639305
"1293","CITY CAKES","251 WEST   18 STREET,MANHATTAN NY,10011",-73.9999275,40.7420957
"1294","CITY CAFE","5603 8 AVENUE,BROOKLYN NY,11220",-74.0071834,40.6375094
"1295","CITY CAFE","35 WEST   43 STREET,MANHATTAN NY,10036",-73.9819819,40.7550857
"1296","CITRICO","681 WASHINGTON AVE,BROOKLYN NY,11238",-73.9635657,40.6768333
"1297","CITIGROUP EXECUTIVE DINING ROOM","388 GREENWICH STREET,MANHATTAN NY,10013",-74.0113596,40.7206796
"1298","CITIGROUP EDR","399 PARK AVENUE,MANHATTAN NY,10022",-73.9718849,40.7591191
"1299","CITIGROUP CONFERENCE DINING","388 GREENWICH STREET,MANHATTAN NY,10013",-74.0113596,40.7206796
"1300","Citibank EXECUTIVE CONFERENCE CENTER","153 EAST   53 STREET,MANHATTAN NY,10022",-73.9698575,40.7583616
"1301","CITIBANK EMPLOYEE CAFETERIA","1 COURT SQUARE,QUEENS NY,11101",-73.9444144,40.747295
"1302","CITI EMPLOYEE CAFETERIA","388 GREENWICH STREET,MANHATTAN NY,10013",-74.0113596,40.7206796
"1303","CITI CAFE/ROHATYN ROOM","881 7TH AVE,MANHATTAN NY,10019",-73.979897,40.764938
"1304","CITI BAGEL & DELI","6372 AMBOY ROAD,STATEN ISLAND NY,10309",-74.2164383,40.5224915
"1305","CITADELLE BAR AND RESTAURANT","9320 AVENUE L,BROOKLYN NY,11236",-73.8976176,40.6369454
"1306","CIROS PASTRY SHOP","415 BEACH  129 STREET,QUEENS NY,11694",-73.8494631,40.5782197
"1307","CIRO'S PIZZA RESTAURANT","171 BEACH  116 STREET,QUEENS NY,11694",-73.8370236,40.579157
"1308","CIRO PIZZA CAFE","862 HUGUENOT AVENUE,STATEN ISLAND NY,10312",-74.1927838,40.5333005
"1309","CIRO PIZZA","11319 BEACH CHANNEL DRIVE,QUEENS NY,11694",-73.8352161,40.581895
"1310","CIRCUS RESTAURANT","132 EAST   61 STREET,MANHATTAN NY,10065",-73.9678153,40.7634562
"1311","CIRCO RESTAURANT","120 WEST   55 STREET,MANHATTAN NY,10019",-73.9793577,40.7630705
"1312","CIRCO PASTRY SHOP","312 KNICKERBOCKER AVENUE,BROOKLYN NY,11237",-73.9234026,40.7014176
"1313","CIRCLES CAFE","310 BAY RIDGE AVENUE,BROOKLYN NY,11220",-74.025816,40.6355454
